PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/09/1998,36,31,27,27,25,23,84,69,49,1002,1001,1000,7,6,5,10,2,,0,3,,90
02/09/1998,37,32,27,29,24,21,94,71,47,1004,1002,1001,8,6,6,19,3,,0,3,Rain-Thunderstorm,170
03/09/1998,36,30,25,25,23,21,89,71,52,1006,1004,1003,7,6,5,19,8,,0,4,Thunderstorm,102
04/09/1998,33,29,26,25,24,21,89,79,63,1010,1007,1006,8,7,6,23,6,,0,4,Rain-Thunderstorm,86
05/09/1998,35,29,25,25,24,23,89,75,53,1008,1007,1007,7,6,6,10,0,,0,2,,120
06/09/1998,35,29,24,25,24,23,94,72,52,1006,1004,1002,7,5,3,10,2,,0,1,,186
07/09/1998,34,30,27,26,24,22,89,75,52,1006,1005,1003,6,6,5,10,2,,0,2,,157
08/09/1998,35,30,25,27,24,22,94,74,47,1009,1006,1005,10,6,5,10,2,,0,1,,105
09/09/1998,35,31,27,26,25,24,84,73,53,1009,1006,1004,6,6,5,13,2,,0,2,Thunderstorm,353
10/09/1998,35,31,27,26,25,22,94,73,52,1006,1004,1001,7,5,3,13,2,,0,2,Thunderstorm,127
11/09/1998,31,26,22,24,22,20,94,83,58,1006,1004,1002,7,6,3,26,6,,0,3,Rain-Thunderstorm,105
12/09/1998,32,26,21,24,22,19,94,76,55,1009,1006,1005,7,6,4,14,3,,0,2,,98
13/09/1998,33,28,24,24,23,21,89,73,52,1008,1006,1004,10,7,4,23,5,,0,1,,96
14/09/1998,32,28,24,24,23,21,89,78,55,1007,1005,1003,7,6,3,23,3,,0,3,Thunderstorm,101
15/09/1998,33,28,23,24,23,22,100,73,52,1006,1004,1002,7,6,3,13,2,,0,2,,21
16/09/1998,35,30,25,25,23,21,89,69,47,1006,1004,1002,7,6,3,13,2,,0,1,,330
17/09/1998,29,28,27,26,24,23,89,83,79,1008,1005,1004,6,5,3,6,0,,0,6,Rain,310
18/09/1998,29,27,24,24,23,22,94,85,66,1008,1007,1005,7,6,3,19,6,,0,6,Rain,303
19/09/1998,31,28,25,24,23,22,94,79,58,1007,1005,1004,8,6,3,10,2,,0,6,,342
20/09/1998,34,29,24,25,23,21,94,74,52,1007,1005,1002,8,7,5,23,3,,0,5,Rain-Thunderstorm,61
21/09/1998,27,26,24,24,23,21,94,86,74,1007,1006,1004,8,7,5,14,8,,0,7,Rain,64
22/09/1998,26,24,23,23,23,22,94,90,83,1007,1006,1005,8,6,5,19,5,,0,7,Rain,54
23/09/1998,31,27,23,23,22,22,94,81,62,1009,1007,1006,8,7,5,16,5,,0,3,,77
24/09/1998,30,27,23,23,22,21,94,82,66,1010,1008,1007,8,7,6,23,5,,0,4,Rain,111
25/09/1998,,,,,,,,,,,,,,,,,,,,,,
26/09/1998,,,,,,,,,,,,,,,,,,,,,,
27/09/1998,34,31,28,26,24,23,84,69,59,1009,1008,1008,6,6,6,10,6,,0,2,,290
28/09/1998,35,30,25,27,24,23,94,69,56,1011,1008,1007,10,7,6,16,5,,0,0,,265
29/09/1998,37,31,26,25,24,23,89,70,47,1010,1007,1005,8,6,4,27,5,,0,1,,262
30/09/1998,37,31,26,25,24,23,89,67,47,1008,1006,1004,10,7,5,29,3,,0,1,,206
