PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/06/1998,41,34,29,17,14,11,45,30,17,1005,1003,1001,8,6,3,19,8,,0,3,Rain-Thunderstorm,302
02/06/1998,43,36,29,16,13,8,45,26,12,1002,1000,998,8,7,3,27,6,,0,2,Rain,295
03/06/1998,40,34,29,18,14,12,43,32,20,1003,1001,998,8,6,3,27,13,,0,2,Thunderstorm,248
04/06/1998,41,34,29,21,16,11,55,34,21,1005,1002,1001,7,7,6,19,6,,0,2,,24
05/06/1998,41,33,25,17,13,9,61,30,14,1004,1002,1000,9,7,3,26,5,,0,1,,17
06/06/1998,41,33,26,18,15,10,58,35,16,1004,1001,1000,10,6,3,19,6,,0,2,,8
07/06/1998,42,36,29,20,15,11,55,32,17,1002,1000,998,10,7,3,27,8,,0,1,,294
08/06/1998,40,35,30,19,16,13,46,33,22,1002,1000,998,6,5,2,19,10,,0,3,,235
09/06/1998,40,34,29,21,16,11,46,35,17,1001,999,997,4,4,4,14,11,,0,5,,287
10/06/1998,33,29,25,23,21,17,74,59,49,1000,998,997,6,5,3,19,11,,0,6,Rain,180
11/06/1998,33,28,23,24,21,19,83,69,43,1004,1000,998,8,6,5,24,8,,0,2,Rain-Thunderstorm,101
12/06/1998,31,24,19,22,19,17,88,72,51,1006,1004,1003,10,7,5,34,18,,0,4,Rain-Thunderstorm,355
13/06/1998,36,30,25,21,20,18,74,59,36,1004,1002,1001,8,7,6,19,6,,0,4,,317
14/06/1998,38,31,25,23,19,16,69,48,27,1006,1004,1003,8,6,3,19,6,,0,1,,304
15/06/1998,40,32,25,20,17,11,74,44,17,1007,1005,1002,8,6,3,13,3,,0,1,,322
16/06/1998,41,33,26,26,19,14,70,45,22,1005,1002,999,8,6,2,24,5,,0,1,,291
17/06/1998,36,31,27,24,23,22,84,66,47,1002,1001,1000,8,7,5,23,13,,0,1,,130
18/06/1998,40,33,27,25,20,14,84,51,21,1002,1000,998,8,7,6,21,10,,0,0,,321
19/06/1998,43,36,29,22,19,16,66,36,21,1001,999,997,6,6,4,19,10,,0,0,,273
20/06/1998,45,38,31,25,21,18,55,39,22,998,995,993,7,6,3,19,6,,0,0,,271
21/06/1998,45,36,27,23,18,10,61,36,13,994,993,992,8,6,5,19,6,,0,0,,164
22/06/1998,41,34,29,29,23,17,71,50,36,998,995,993,6,5,3,19,13,,0,0,Thunderstorm,103
23/06/1998,41,34,29,23,18,14,66,38,20,998,996,994,8,6,5,21,10,,0,1,Thunderstorm,320
24/06/1998,41,36,32,23,21,15,55,40,22,998,996,995,6,5,3,11,6,,0,2,,238
25/06/1998,43,36,28,23,19,13,62,39,18,998,995,993,7,5,3,14,3,,0,0,,291
26/06/1998,44,37,30,21,18,13,58,35,17,996,994,992,8,6,3,14,3,,0,0,,237
27/06/1998,42,36,30,28,23,20,66,50,30,996,994,993,7,6,1,37,10,,0,1,Thunderstorm,129
28/06/1998,36,33,30,26,23,20,70,56,41,1000,998,996,8,6,5,34,18,,0,2,,106
29/06/1998,38,33,29,27,26,24,79,63,47,999,997,996,8,7,5,27,14,,0,4,,117
30/06/1998,35,32,29,26,24,21,79,65,52,999,997,994,10,7,5,27,13,,0,4,,118
