PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/04/1999,,,,,,,,,,,,,,,,,,,,,,
02/04/1999,,,,,,,,,,,,,,,,,,,,,,
03/04/1999,,,,,,,,,,,,,,,,,,,,,,
04/04/1999,,,,,,,,,,,,,,,,,,,,,,
05/04/1999,35,30,23,19,15,13,61,42,26,1008,1007,1007,8,6,6,13,6,,0,2,,285
06/04/1999,36,27,18,19,14,12,73,51,30,1009,1007,1005,8,6,5,13,2,,0,2,,340
07/04/1999,36,27,18,19,17,15,83,54,32,1006,1004,1001,8,6,2,14,3,,0,3,,314
08/04/1999,36,28,20,17,14,10,83,46,22,1007,1005,1003,8,5,3,16,3,,0,1,,292
09/04/1999,36,27,19,15,12,9,68,39,19,1009,1006,1005,8,6,2,19,5,,0,1,,348
10/04/1999,39,30,21,16,13,8,64,42,16,1007,1004,1002,8,7,5,10,5,,0,0,,27
11/04/1999,41,31,21,16,13,10,64,35,17,1002,1001,999,8,7,5,23,8,,0,0,,169
12/04/1999,37,30,23,18,13,6,61,34,16,1005,1003,1000,8,6,3,21,10,,0,1,,207
13/04/1999,35,28,21,17,11,2,69,41,12,1005,1004,1002,8,6,4,23,5,,0,2,,200
14/04/1999,34,26,17,11,7,3,59,33,15,1009,1006,1005,8,6,5,14,2,,0,0,,312
15/04/1999,34,27,19,11,9,8,56,34,21,1009,1007,1006,8,7,5,19,6,,0,0,,292
16/04/1999,37,28,19,15,12,9,60,36,19,1009,1007,1006,8,7,5,19,8,,0,0,,291
17/04/1999,38,28,19,17,14,11,73,44,25,1007,1006,1004,8,7,2,19,5,,0,0,,298
18/04/1999,39,29,19,18,14,11,64,41,18,1006,1004,1003,8,7,4,14,2,,0,1,,249
19/04/1999,40,31,22,16,14,12,60,38,20,1007,1005,1002,8,6,2,19,3,,0,0,,300
20/04/1999,40,30,21,18,15,6,64,41,22,1006,1005,1003,8,6,2,13,2,,0,1,,263
21/04/1999,39,31,23,19,13,7,61,35,15,1008,1006,1004,8,6,2,19,6,,0,1,,231
22/04/1999,39,31,24,16,14,11,54,36,18,1009,1006,1004,8,7,5,19,8,,0,0,,302
23/04/1999,40,31,22,17,15,13,61,38,21,1005,1002,999,8,7,4,19,3,,0,0,,285
24/04/1999,41,31,22,19,16,13,69,41,24,1002,999,998,8,6,3,16,3,,0,0,,316
25/04/1999,41,32,23,19,15,10,48,37,26,1003,1001,1000,8,7,6,16,6,,0,0,,327
26/04/1999,41,33,25,20,16,6,57,38,12,1003,1001,1000,8,7,5,19,11,,0,0,,313
27/04/1999,42,32,23,19,16,10,61,40,19,1003,1001,1000,8,7,6,16,5,,0,0,,285
28/04/1999,42,32,22,23,18,13,65,43,28,1004,1002,1000,8,7,5,16,3,,0,0,,212
29/04/1999,43,33,24,23,19,15,61,43,28,1002,1001,998,8,6,1,13,2,,0,0,,270
30/04/1999,43,34,25,25,21,17,69,48,30,1000,999,997,8,5,1,13,2,,0,0,,296
