PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/05/1999,42,33,26,23,14,9,62,36,14,1001,999,998,8,6,4,24,8,,0,1,,262
02/05/1999,41,32,23,19,13,3,61,31,10,1002,1000,999,8,6,2,13,5,,0,2,,324
03/05/1999,42,33,26,19,14,11,51,35,22,1001,999,997,6,5,3,24,5,,0,2,,83
04/05/1999,41,33,26,17,14,10,44,31,17,1004,1001,1000,7,5,2,26,10,,0,3,,6
05/05/1999,41,34,29,17,15,13,43,32,22,1005,1002,1000,7,6,3,27,10,,0,2,Thunderstorm,344
06/05/1999,42,34,28,20,17,15,45,35,24,1003,1001,999,8,6,4,19,13,,0,1,,303
07/05/1999,38,32,27,18,16,13,54,37,24,1001,999,998,8,6,2,13,5,,0,4,,261
08/05/1999,40,33,27,18,16,14,54,37,24,1003,1001,999,6,5,3,26,6,,0,2,,78
09/05/1999,41,33,26,20,18,13,54,38,26,1004,1001,998,8,7,4,19,5,,0,1,,280
10/05/1999,37,31,25,23,18,15,57,43,29,1004,1002,1000,7,4,1,174,19,,0,1,,98
11/05/1999,38,30,22,22,18,16,73,49,30,1006,1003,1001,8,6,4,19,8,,0,0,,120
12/05/1999,31,27,23,21,19,18,83,61,51,1009,1004,1002,8,5,1,55,13,,0,5,Rain-Thunderstorm,53
13/05/1999,34,28,23,20,18,15,73,52,32,1006,1003,1000,8,7,6,13,6,,0,2,Rain-Thunderstorm,287
14/05/1999,38,30,23,19,17,12,73,42,22,1002,1000,997,8,7,5,13,3,,0,0,,261
15/05/1999,39,31,23,21,18,15,73,49,26,1003,1001,999,8,6,4,21,5,,0,0,,106
16/05/1999,41,33,25,24,19,16,61,48,26,1004,1002,999,7,5,3,23,2,,0,0,,197
17/05/1999,42,34,28,20,18,15,51,38,23,1010,1001,999,8,6,3,24,8,,0,0,,264
18/05/1999,41,33,25,22,19,17,61,45,31,1005,1001,999,6,5,5,16,5,,0,0,,96
19/05/1999,42,34,27,22,19,15,65,37,26,1002,999,997,6,6,5,13,3,,0,1,,177
20/05/1999,39,34,29,21,18,16,49,39,26,1002,1000,998,6,5,3,19,6,,0,2,Rain,74
21/05/1999,35,32,29,22,19,19,58,50,39,1004,1001,999,8,6,5,180,13,,0,4,,175
22/05/1999,35,31,27,22,21,12,74,58,28,1002,1000,997,7,6,4,11,2,,0,6,,239
23/05/1999,31,27,23,24,22,19,84,74,55,1001,999,998,10,7,6,23,8,,0,7,Rain,345
24/05/1999,35,28,22,23,22,20,94,65,41,1000,999,997,8,8,6,14,3,,0,1,,31
25/05/1999,40,32,25,25,21,14,89,55,31,1000,998,995,8,5,1,47,5,,0,1,,287
26/05/1999,41,33,25,17,14,10,57,28,15,1000,998,997,8,8,5,14,5,,0,0,,282
27/05/1999,43,34,26,17,11,5,54,26,10,1004,1001,1000,8,7,5,23,8,,0,0,,296
28/05/1999,43,34,26,16,13,10,51,29,15,1001,999,996,8,7,5,16,6,,0,0,,265
29/05/1999,42,33,26,20,17,14,51,37,23,996,995,993,8,7,5,19,6,,0,0,,226
30/05/1999,40,34,29,22,18,13,49,38,27,999,995,993,8,6,2,45,11,,0,1,,167
31/05/1999,35,30,25,20,16,14,61,45,30,1003,1000,996,10,6,2,37,11,,0,3,Rain-Thunderstorm,60
